date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:49	5057/5057	---M--	200	added ('OK')	image/jpeg	etag:%2213c1-51d55aaeba0da%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image29.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image29.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
21:33:49	11994/11994	---M--	200	added ('OK')	image/jpeg	etag:%222eda-51d55aaec4cba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image30.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image30.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
21:33:50	21162/21162	---M--	200	added ('OK')	image/jpeg	etag:%2252aa-51d55aaecaa7a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image31.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image31.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
21:33:50	11236/11236	---M--	200	added ('OK')	image/jpeg	etag:%222be4-51d55aaed083a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image32.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image32.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
21:33:50	3829/3829	---M--	200	added ('OK')	image/jpeg	etag:%22ef5-51d55aaed565a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image33.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image33.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
21:33:50	6199/6199	---M--	200	added ('OK')	image/jpeg	etag:%221837-51d55aaedb41a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image34.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image34.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s04.html)
21:33:51	22248/22248	---M--	200	added ('OK')	image/jpeg	etag:%2256e8-51d55aaee023a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image35.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image35.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s04.html)
21:33:51	582/582	---M--	200	added ('OK')	image/png	etag:%22246-51d55aaee5ffa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image36.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image36.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s04.html)
21:33:51	817/817	---M--	200	added ('OK')	image/png	etag:%22331-51d55aaeebdba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image37.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image37.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s04.html)
21:33:51	13122/13122	---M--	200	added ('OK')	image/jpeg	etag:%223342-51d55aaef0bda%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image38.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image38.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s05.html)
